reviewId,content,score,cleaned_text,sentiment,predicted_sentiment,sentiment_label
c35d2955-ae73-46ce-af1f-f80c66b8f50c,parah banget app ini.. akun saya di blokir tanpa sebab.... nelpon cs. sudah habis pulsa 100rb lebih.. masalah belum juga selesai.... parah banget. suruh datang ke kantor ofline. padahal saya waktu registrasi jenius lewat online.. sudah kantor cabangnya masih sedikit.,1,parah banget app akun blokir nelpon c habis pulsa rb selesai parah banget suruh kantor ofline registrasi jenius online kantor cabangnya,0,0,Negative
66e85d66-8373-483c-b09a-6c11e92e15a2,kenapa tidak bisa registrasi ? sesaat setelah ambil poto ktp langsung kluar aplikasi (langsung ketutup aplikasinya,1,registrasi ambil poto ktp langsung kluar aplikasi langsung ketutup aplikasinya,0,0,Negative
2efa0ee9-5eb3-4829-952d-5b090ad7243a,"login doank kaga bisaa, eror apa gimana sih",1,login doank kaga bisaa eror gimana sih,0,0,Negative
cd68cd46-e508-4398-abf0-e69c1841493a,"penganjuan ribet sampe video call sama puasanya tapi ujung""nya di tolak",1,penganjuan ribet sampe video call puasanya ujungnya tolak,0,0,Negative
3556f34b-5667-472f-9cf1-c79d83f87ee0,Tidak bisa memasukan sandi(registrasi),1,memasukan sandiregistrasi,0,0,Negative
6311a276-2c81-4a46-a311-fc870d8b0174,Duh tambah parah.,1,duh parah,0,0,Negative
28f29770-52c7-425a-8b0f-de1941bf6512,"pls mba"" nya gausa maksa banget, suru tf 2,1 giliran bisa dibalikin cuma 2 jt, 100 ilang gitu aja. jangan mau klo dipaksa mba"" nya yang kerja narik"" orang!",1,pls mba nya gausa maksa banget suru tf giliran dibalikin jt ilang gitu aja klo dipaksa mba nya kerja narik orang,0,0,Negative
8f8a78a0-a5a8-410f-b31e-935e947f71b2,Tidak support di device Huawei.. Mengecewakan sekali. Semoga di perbaiki.,2,support device huawei mengecewakan semoga perbaiki,0,0,Negative
056f7913-98d1-4c2b-9e99-89c0dcd4c625,"sdh dftr,sdh video call juga,tp tiap log in disuruh registrasi ulang dari awal..payah,semoga data tdk disalah gunakan",1,sdh dftrsdh video call jugatp log in disuruh registrasi ulang awalpayahsemoga data tdk disalah,0,0,Negative
a273c56e-473d-4727-88f5-ce0df6ef5bca,saya menyukai aplikasi ini cepat dan mudah,5,menyukai aplikasi cepat mudah,1,1,Positive
5c485269-9971-4b32-a115-76d17fd97fdb,sales maksa registrasi dengan dongeng jual kesedihan,1,sale maksa registrasi dongeng jual kesedihan,0,0,Negative
04b078ee-b396-4502-a035-3e8f19280bf8,mantapnh,5,mantapnh,1,1,Positive
ac99f9cd-8445-4709-a69d-0dfac9ef74cb,"pliss ko diisi saldo 4jt tgl 27 mei tgl 29 kena biaya & pajak 10k, trs 11 juni pun kena lagi 10k. mksdnya itu buat apa anjir. gada kejelasan",3,pliss ko diisi saldo jt tgl mei tgl kena biaya pajak k trs juni kena k mksdnya anjir gada kejelasan,0,0,Negative
02710cc8-f0f9-42b5-a068-7fdeeeae5e5c,"harini kamis 11 juni 2026 di aeon tanjung barat, buat kaka cowo yang minta tolong buat gituin aplikasi jenius buat kejar target, tolong ya lain kali jangan maksa sampe harus nyuruh saya transfer rekening saya ke jenius.",1,harini kami juni aeon tanjung barat kaka cowo tolong gituin aplikasi jenius kejar target tolong ya kali maksa sampe nyuruh transfer rekening jenius,0,0,Negative
154a994e-5b07-436f-a19f-b89fee5d79c4,"Habis Update Tidak Bisa login kembali di Hp Huawei, sebelumnya berjalan normal",3,habis update login hp huawei berjalan normal,0,0,Negative
21b27163-2389-4795-a15f-856ae1fc9a88,"untung uang gua udah gua pindah , kalah ga bakal nyesel , cihhh apk error ga bisa di buka , gilaa sihh",1,untung uang gua udah gua pindah kalah ga nyesel cihhh apk error ga buka gilaa sihh,0,0,Negative
569d2865-dc55-439c-8dd8-42f81aa15bbe,Paling ribet kayak zaman batu sistemnya,1,ribet kayak zaman batu sistemnya,0,0,Negative
e2b6d918-32f3-41c6-8d98-b020371e5073,Saya tidak bisa login ke akun jenius. Di karenakan nomornya sudah hangus,2,login akun jenius karenakan nomornya hangus,0,0,Negative
